,dx,max_gz,mean_gz,label
247,1218315663481,35.81,-2.948734177,r
248,309875987805,23.43,-1.492033898,r
249,307251599418,26.42,0.0158490566,r
250,307321143195,21.07,-1.864901961,r
251,68676684019,21.58,-1.891081081,r
252,50387937697,16.98,-2.60516129,r
253,985196611258,21.1,-1.702575758,r
254,250753672986,30.9,-1.619183673,r
255,120041827893,35.56,-1.696097561,r
256,150295724860,21.79,-1.972978723,r
257,146176354713,21.69,-2.247272727,r
258,145003115249,19.88,-3.393255814,r
259,314982583632,42.73,0.2832692308,r
260,219237884656,33.85,-2.009795918,r
261,198879785923,37.87,-0.7041304348,r
262,323521379735,23.35,-2.288983051,r
263,159687809457,26.05,-1.841304348,r
264,242690525310,21.31,0.562037037,r
265,195523511378,20.2,-0.7209803922,r
266,479451440139,30.64,-1.914285714,r
267,380833875987,19.92,-1.8615,r
268,115145277760,24.29,-2.885,r
269,224124582236,19.59,-2.687407407,r
270,203993515650,18.7,-2.939215686,r
271,99251867357,23.76,-1.924878049,r
272,339902822883,16.05,-1.673508772,r
273,129591492043,27.58,-1.72675,r
274,65944545481,26.16,-0.2217142857,r
275,407933692604,21.79,-1.603548387,r
276,56895798745,16.84,-1.016,r
277,171487045734,33.35,-0.6259574468,r
278,349426080438,16.72,-1.417678571,r
279,453760821820,18.92,-2.096393443,r
280,392467803682,26.33,-1.627241379,r
281,529428155236,23.93,0.2828125,r
282,119803934363,18.26,-1.807804878,r
283,565619995598,16.38,-2.032413793,r
284,333792683562,46.77,-1.407962963,r
285,110284685392,39.89,-3.299302326,r
286,109546032300,29.56,-3.013658537,r
287,135385541125,21.89,-2.873255814,r
288,83869558483,25.57,-2.816756757,r
289,122164285863,38.82,-0.8314634146,r
290,118157654871,18.32,-2.748333333,r
291,300158327866,14.67,-1.788518519,r
292,147980107107,22.4,-2.323469388,r
293,137437632009,28.51,-2.75255814,r
294,177984786470,30.34,-2.136170213,r
295,864927832401,22.33,-1.243230769,r
296,183916564453,29.19,-0.82,r
297,103417975911,21.64,-3.01,r
298,122864875237,22.56,-2.578837209,r
299,78853383426,10.1,-3.881052632,r
300,129186684522,22.34,-2.563095238,r
301,322011755875,22.72,-1.036851852,r
302,170054001602,22.28,-3.241219512,r
303,328357293977,26.49,-0.4888888889,r
304,125202792331,20.26,-2.248181818,r
305,216797442594,25.61,-2.48037037,r
306,296712597111,20.4,-1.552264151,r
307,203680691993,29.16,-1.212826087,r
308,112988283078,14.22,-2.991555556,r
309,110998820273,11.18,-2.999555556,r
310,93400327694,12.17,-1.179117647,r
311,162744062500,25.68,-0.8019565217,r
312,184653148757,21.22,-2.3266,r
313,148186344444,27.58,-2.712608696,r
314,107431525807,23.06,-2.041463415,r
315,131266197661,20.06,-1.722727273,r
316,151879301421,22.86,-2.358723404,r
317,172613906735,20.12,-2.9638,r
318,412988022503,21.38,-2.30171875,r
319,149612037676,22.13,-3.068913043,r
320,134906517230,26.84,-0.93375,r
321,120746045898,33.82,-1.148095238,r
322,96668014606,18.16,-2.077317073,r
323,361159747208,26.71,-2.634137931,r
324,123643063854,19.52,0.42225,r
325,122019380044,28.98,-1.46372093,r
326,134343120974,20.57,-1.466,r
327,187709663309,21.59,-1.5164,r
328,109581658493,26.55,-2.367317073,r
329,380337177175,15.09,-1.511864407,r
330,204702170437,34.97,-1.149347826,r
331,180462144736,44.49,-1.977826087,r
332,297928652246,15.29,-2.071666667,r
333,395558771298,28.38,-0.3127777778,r
334,389930767430,25.88,-1.733207547,r
335,414232329651,24.89,-2.502545455,r
336,544512803271,22.07,-2.162372881,r
337,560535281620,17.67,-1.753333333,r
338,144610451515,25.99,-3.438444444,r
339,196725767564,22.7,-2.380434783,r
340,165948352746,26.12,-0.790952381,r
341,193109208247,16.63,-1.917692308,r
342,104578692906,38.01,-0.8948837209,r
343,123157005659,23.07,-3.007674419,r
344,90045972930,23.37,-2.67075,r
345,166184772707,22.67,-1.786888889,r
346,132281283220,24.82,-2.763777778,r
347,121533822226,25.47,-0.6709756098,r
348,169115152402,33.78,-3.269555556,r
349,142366793424,24.71,-3.177777778,r
350,31143649182,25.99,-1.915833333,r
351,501968718639,18.38,-2.636315789,r
352,288536555370,21.03,-1.824117647,r
353,883549060026,20.5,-1.959701493,r
354,320883012891,17.82,-2.828448276,r
355,134307416717,39.31,-1.314418605,r
356,145377435086,23.36,-2.151190476,r
357,97198427434,21.38,-2.408095238,r
358,211405520973,26.88,-3.543409091,r
359,139371353246,17.62,-3.584130435,r
360,469831235276,16.85,-2.700655738,r
361,119455426410,24.49,-3.41275,r
362,118817821101,43.83,-1.302619048,r
363,116647475661,26.28,-2.835609756,r
364,96808600349,22.8,-2.197,r
365,215220302761,20.74,-2.315625,r
366,178707458504,23.16,-0.155,r
367,152226769541,19.85,-2.674897959,r
368,149188191186,32.89,0.8581395349,r
369,185009471956,28.07,-2.305909091,r
370,442421920575,15.55,-1.81490566,r
371,92333739947,32.93,-0.03923076923,r
372,126743424591,41.25,0.008095238095,r
373,163794471122,24.46,-3.116875,r
374,147813938092,23.56,-1.385227273,r
375,108506425215,21.67,-0.2731578947,r
376,165893087594,23.23,-1.490465116,r
377,532376294230,20.83,-1.104482759,r
378,257471320646,19.05,-3.619464286,r
379,99211600264,21.53,-2.938809524,r
380,359792425028,21.39,-1.084210526,r
381,149965087073,18.6,-1.767826087,r
382,98887485863,27.2,-2.55475,r
383,161164898228,24.42,-3.004090909,r
384,122301243837,22.93,-1.181282051,r
385,107426954426,21.03,-2.744,r
386,122259378889,17.66,-2.828636364,r
387,67008309111,21.93,-2.044444444,r
388,150792768970,20.06,-2.402444444,r
389,195629205929,32.05,-3.023191489,r
390,231673622695,36.61,-2.48326087,r
391,710394863601,33.01,-2.5509375,r
392,102070363553,27.47,-3.17125,r
393,118721997968,25.72,-3.330238095,r
394,188160262846,23.43,-2.750408163,r
395,346712752330,37.68,-1.150196078,r
396,457066212639,28.67,-1.826129032,r
397,73287908945,22.62,-2.828108108,r
398,238151027774,16.62,-3.672363636,r
399,83957563000,25.9,-0.9372222222,r
